id,plot_id,issued_at,category,severity,acknowledged_at
1,39,2026-03-22 08:10:00,disease,info,
2,377,2024-07-03 20:20:00,harvest,info,2024-07-07 00:20:00
3,198,2024-07-10 06:30:00,harvest,warning,
4,87,2025-08-07 13:40:00,weather,info,2025-08-11 03:40:00
5,356,2024-07-11 12:40:00,pest,info,2024-07-12 23:40:00
6,17,2024-09-26 18:20:00,nutrient,info,2024-09-30 06:20:00
7,174,2024-07-23 09:10:00,disease,urgent,2024-07-24 03:10:00
8,79,2024-08-19 19:20:00,harvest,urgent,2024-08-23 18:20:00
9,252,2024-09-20 07:30:00,disease,warning,
10,125,2024-10-08 14:50:00,nutrient,warning,
11,87,2026-07-19 11:40:00,pest,warning,
12,244,2025-08-22 05:50:00,pest,warning,
13,311,2025-07-19 12:00:00,disease,info,
14,17,2025-07-20 12:20:00,irrigation,warning,2025-07-21 07:20:00
15,320,2025-12-28 15:10:00,harvest,urgent,2026-01-01 09:10:00
16,380,2026-05-05 07:50:00,irrigation,urgent,2026-05-08 00:50:00
17,264,2026-06-12 18:20:00,harvest,critical,2026-06-14 03:20:00
18,185,2025-11-25 13:30:00,weather,info,
19,186,2024-09-14 07:30:00,weather,warning,2024-09-18 02:30:00
20,55,2026-08-04 15:10:00,nutrient,warning,2026-08-07 12:10:00
21,258,2025-03-13 13:40:00,weather,urgent,
22,297,2025-06-10 09:50:00,nutrient,warning,2025-06-12 02:50:00
23,297,2024-08-30 09:30:00,harvest,info,
24,71,2025-12-03 17:10:00,weather,info,2025-12-07 15:10:00
25,277,2024-07-15 17:50:00,weather,info,2024-07-16 20:50:00
26,333,2025-12-31 19:10:00,disease,warning,2026-01-01 09:10:00
27,58,2024-10-27 20:00:00,weather,info,
28,108,2026-02-24 06:50:00,disease,warning,
29,75,2026-04-17 06:00:00,pest,info,2026-04-17 07:00:00
30,33,2024-09-10 17:30:00,weather,warning,2024-09-10 21:30:00
31,431,2024-11-11 20:50:00,irrigation,info,2024-11-12 07:50:00
32,97,2025-08-03 17:00:00,disease,info,
33,284,2025-10-27 15:50:00,weather,info,
34,262,2024-07-07 06:30:00,weather,info,
35,329,2026-03-31 11:20:00,weather,info,
36,162,2024-09-26 08:00:00,pest,info,
37,235,2024-07-11 17:10:00,irrigation,info,
38,169,2024-07-20 17:30:00,pest,urgent,2024-07-24 10:30:00
39,224,2025-06-02 17:30:00,nutrient,info,2025-06-06 04:30:00
40,190,2025-10-17 07:50:00,disease,info,
41,145,2026-08-18 19:40:00,irrigation,info,2026-08-21 23:40:00
42,396,2024-11-24 20:00:00,disease,warning,2024-11-27 20:00:00
43,221,2025-06-16 11:20:00,weather,warning,2025-06-20 08:20:00
44,290,2024-11-21 17:10:00,pest,info,
45,271,2025-12-23 18:40:00,weather,warning,
46,61,2025-04-23 20:40:00,nutrient,info,2025-04-27 00:40:00
47,93,2025-08-13 19:00:00,pest,warning,
48,355,2024-12-19 12:10:00,harvest,info,2024-12-21 20:10:00
49,392,2025-08-17 19:50:00,nutrient,warning,2025-08-18 19:50:00
50,8,2025-10-14 07:40:00,weather,urgent,
51,189,2026-03-30 07:30:00,pest,info,
52,236,2025-04-08 19:20:00,disease,warning,
53,250,2025-10-20 17:40:00,harvest,info,2025-10-23 15:40:00
54,409,2024-10-28 09:20:00,nutrient,info,
55,71,2025-05-30 13:10:00,nutrient,info,
56,172,2025-03-13 07:30:00,irrigation,info,
57,370,2024-08-01 16:20:00,irrigation,urgent,2024-08-04 15:20:00
58,349,2025-10-23 16:30:00,weather,urgent,2025-10-26 00:30:00
59,65,2026-08-17 09:10:00,harvest,urgent,2026-08-17 10:10:00
60,295,2026-08-01 06:00:00,irrigation,warning,2026-08-05 01:00:00
61,210,2025-11-11 06:30:00,irrigation,info,
62,434,2025-04-25 10:40:00,irrigation,info,
63,370,2025-11-06 05:00:00,weather,info,
64,94,2026-03-08 13:50:00,pest,warning,2026-03-10 19:50:00
65,200,2025-02-10 16:00:00,weather,warning,2025-02-12 13:00:00
