id,plot_id,crop,season,sown_date,harvest_date,expected_yield,actual_yield,status
1,35,chickpea,rabi,2024-11-27 00:00:00,2025-03-16 00:00:00,1495.4,3627.5,H
2,212,jowar,rabi,2025-11-05 00:00:00,2026-04-03 00:00:00,2175.3,1630.1,H
3,314,onion,rabi,2025-10-20 00:00:00,2026-02-11 00:00:00,14708.4,7928.1,F
4,400,sunflower,rabi,2025-11-23 00:00:00,2026-04-13 00:00:00,1154.6,1034.2,H
5,71,maize,kharif,2024-06-14 00:00:00,2024-11-19 00:00:00,6273.5,64490.5,H
6,114,cotton,kharif,2023-06-15 00:00:00,2023-11-27 00:00:00,1863.2,25962.5,H
7,127,jowar,rabi,2023-11-24 00:00:00,2024-03-23 00:00:00,2323.8,5124.9,H
8,275,chickpea,rabi,2025-10-15 00:00:00,2026-02-21 00:00:00,1537.3,1769.7,F
9,266,chickpea,rabi,2026-10-18 00:00:00,,1406.8,,P
10,323,paddy,kharif,2024-07-13 00:00:00,2024-11-19 00:00:00,4544.8,18221.2,H
11,151,onion,kharif,2026-06-15 00:00:00,,16701.3,,P
12,47,chickpea,rabi,2024-10-13 00:00:00,2025-02-16 00:00:00,1325.9,1755.9,F
13,365,cotton,kharif,2023-07-11 00:00:00,2023-12-12 00:00:00,1880.2,14943.6,H
14,376,wheat,rabi,2023-11-21 00:00:00,2024-03-23 00:00:00,2714.3,22790.7,H
15,262,onion,kharif,2025-07-02 00:00:00,2025-12-08 00:00:00,14420.2,34140.5,H
16,442,maize,kharif,2024-06-25 00:00:00,2024-11-27 00:00:00,4759.7,95427.7,H
17,229,sugarcane,kharif,2023-06-07 00:00:00,2023-09-25 00:00:00,80867.9,95583.9,H
18,438,sunflower,rabi,2025-11-08 00:00:00,2026-03-01 00:00:00,1232.0,1345.5,H
19,41,onion,kharif,2024-07-20 00:00:00,2024-12-17 00:00:00,16276.2,10096.7,H
20,76,paddy,rabi,2023-10-28 00:00:00,2024-02-07 00:00:00,4410.4,9664.1,H
21,45,paddy,kharif,2025-06-06 00:00:00,2025-11-06 00:00:00,3928.3,6901.3,H
22,294,chickpea,rabi,2025-11-02 00:00:00,2026-02-15 00:00:00,1512.8,15037.0,H
23,420,wheat,rabi,2025-10-10 00:00:00,2026-02-17 00:00:00,2760.1,14444.5,H
24,270,jowar,rabi,2026-10-20 00:00:00,,2118.7,,P
25,374,chickpea,rabi,2025-11-14 00:00:00,2026-04-01 00:00:00,1546.1,2851.8,H
26,320,groundnut,kharif,2025-07-17 00:00:00,2025-12-20 00:00:00,1663.3,21733.2,H
27,313,cotton,kharif,2024-06-04 00:00:00,2024-09-23 00:00:00,1781.0,11320.1,H
28,107,onion,rabi,2025-10-11 00:00:00,2026-02-10 00:00:00,16290.0,122814.7,H
29,104,sugarcane,kharif,2023-07-10 00:00:00,2023-11-29 00:00:00,79169.9,667029.9,H
30,171,groundnut,summer,2026-02-27 00:00:00,2026-06-03 00:00:00,1453.1,3126.3,H
31,246,sunflower,rabi,2026-10-16 00:00:00,,1245.8,,P
32,443,chickpea,rabi,2025-11-24 00:00:00,2026-03-07 00:00:00,1540.7,4770.7,H
33,162,chickpea,rabi,2024-11-26 00:00:00,2025-04-25 00:00:00,1338.5,587.0,H
34,16,groundnut,summer,2026-02-19 00:00:00,2026-06-08 00:00:00,1449.9,6699.8,H
35,158,groundnut,kharif,2024-07-03 00:00:00,2024-11-21 00:00:00,1781.0,2320.5,H
36,155,cotton,kharif,2024-06-12 00:00:00,2024-11-19 00:00:00,1550.2,3422.1,H
37,260,paddy,rabi,2025-10-07 00:00:00,2026-02-05 00:00:00,4733.8,7194.7,H
38,398,groundnut,kharif,2023-06-07 00:00:00,2023-11-10 00:00:00,1377.5,2869.9,H
39,60,paddy,rabi,2023-10-11 00:00:00,2024-02-17 00:00:00,4690.4,5120.1,H
40,382,sugarcane,kharif,2025-07-21 00:00:00,2025-11-21 00:00:00,73808.6,98156.9,H
41,164,sunflower,rabi,2024-10-06 00:00:00,2025-01-31 00:00:00,1061.2,1326.9,H
42,53,cotton,kharif,2025-07-09 00:00:00,2025-11-05 00:00:00,2039.4,30224.6,H
43,88,wheat,rabi,2025-11-18 00:00:00,2026-03-26 00:00:00,2682.2,488.8,F
44,26,wheat,rabi,2023-10-14 00:00:00,2024-02-16 00:00:00,2801.5,15265.6,H
45,429,sunflower,summer,2024-03-27 00:00:00,2024-07-02 00:00:00,1276.6,10131.2,H
46,387,sunflower,rabi,2023-11-04 00:00:00,2024-03-12 00:00:00,1131.7,15971.3,H
47,241,cotton,kharif,2024-07-12 00:00:00,2024-11-24 00:00:00,1629.0,21671.0,H
