id,plot_id,agent_id,visited_at,outcome,notes
1,80,23,2026-07-24 10:15:00,completed,Soil sample collected
2,226,5,2026-03-24 11:15:00,partial,
3,248,14,2025-01-27 16:15:00,completed,
4,322,18,2024-07-16 18:30:00,rescheduled,"Plot inaccessible, will revisit"
5,221,5,2025-09-26 12:00:00,partial,Ran out of daylight
6,165,23,2025-12-10 15:15:00,completed,
7,275,11,2026-05-04 16:15:00,farmer_absent,"Nobody at site, left advisory note"
8,239,11,2025-05-05 14:45:00,completed,Advised on irrigation schedule
9,88,17,2025-01-24 07:30:00,completed,Pest damage observed on eastern edge
10,33,8,2024-08-13 16:30:00,partial,Only half the plot surveyed
11,366,5,2024-08-28 09:45:00,completed,
12,159,24,2025-09-15 16:45:00,completed,Discussed input costs
13,442,2,2024-08-20 12:00:00,farmer_absent,Farmer not present at plot
14,315,21,2024-08-02 18:15:00,completed,Pest damage observed on eastern edge
15,428,20,2024-08-03 12:00:00,completed,
16,294,23,2024-09-17 13:45:00,completed,Pest damage observed on eastern edge
17,434,8,2025-10-05 09:45:00,rescheduled,
18,47,18,2026-01-26 12:00:00,completed,Advised on irrigation schedule
19,269,7,2025-01-26 17:30:00,completed,Crop looks healthy
20,271,19,2025-07-22 07:30:00,rescheduled,"Heavy rain, rescheduled"
21,97,20,2026-02-14 10:30:00,completed,Pest damage observed on eastern edge
22,308,15,2025-05-25 09:15:00,rescheduled,
23,16,20,2026-07-11 08:30:00,partial,Only half the plot surveyed
24,179,7,2026-05-09 10:15:00,partial,Sensor check pending
25,233,18,2024-04-20 14:00:00,completed,Advised on irrigation schedule
26,174,5,2025-12-17 10:45:00,completed,Crop looks healthy
27,246,22,2024-08-25 16:00:00,rescheduled,Farmer requested a later date
28,340,12,2024-07-05 17:15:00,completed,Pest damage observed on eastern edge
29,230,4,2024-11-16 13:45:00,completed,
30,13,16,2026-05-05 15:45:00,completed,Recommended fertiliser top-up
31,255,25,2025-10-29 17:00:00,completed,Crop looks healthy
32,97,10,2024-12-26 16:15:00,completed,Crop looks healthy
33,274,17,2025-07-21 12:00:00,rescheduled,
34,379,8,2025-03-17 17:00:00,cancelled,Farmer withdrew from programme
35,235,8,2024-08-20 08:15:00,completed,Crop looks healthy
36,24,7,2024-09-13 11:00:00,cancelled,"Duplicate visit, cancelled"
37,91,8,2025-08-04 07:15:00,completed,Soil sample collected
38,319,25,2024-09-22 18:30:00,completed,Recommended fertiliser top-up
