id,farmer_id,area_hectares,soil_type,district,irrigation_type
1,291,1.49,laterite,Gulbarga,canal
2,272,0.9,red loam,Mandya,drip
3,266,3.05,red loam,Solapur,sprinkler
4,147,2.0,alluvial,Mysore,canal
5,228,17.84,sandy loam,Belgaum,borewell
6,282,14.54,red loam,Mysore,rainfed
7,261,5.17,black cotton,Belgaum,rainfed
8,284,1.15,black cotton,Bellary,rainfed
9,204,15.23,black cotton,Belgaum,canal
10,163,10.13,laterite,Mandya,canal
11,67,1.86,sandy loam,Belgaum,canal
12,83,3.38,black cotton,Bijapur,rainfed
13,101,9.63,black cotton,Mandya,sprinkler
14,87,13.49,sandy loam,Tumkur,sprinkler
15,22,13.7,sandy loam,Tumkur,canal
16,293,3.99,sandy loam,Mandya,drip
17,126,1.5,red loam,Sangli,drip
18,213,9.75,sandy loam,Solapur,rainfed
19,205,1.22,sandy loam,Mysore,drip
20,127,0.86,red loam,Belgaum,rainfed
21,296,2.64,alluvial,Bijapur,rainfed
22,255,5.87,black cotton,Mysore,borewell
23,145,11.65,black cotton,Belgaum,borewell
24,221,5.06,black cotton,Raichur,sprinkler
25,288,11.4,sandy loam,Tumkur,sprinkler
26,61,5.18,red loam,Dharwad,canal
27,261,2.16,laterite,Belgaum,drip
28,77,1.22,alluvial,Bijapur,sprinkler
29,154,11.88,sandy loam,Sangli,drip
30,9,13.0,black cotton,Bellary,sprinkler
31,243,1.45,black cotton,Bijapur,sprinkler
32,246,10.56,red loam,Sangli,borewell
33,294,0.58,alluvial,Mysore,canal
34,211,16.18,black cotton,Raichur,canal
35,266,2.0,alluvial,Bellary,sprinkler
36,176,14.17,sandy loam,Mandya,sprinkler
37,248,3.19,sandy loam,Gulbarga,canal
38,251,5.73,sandy loam,Hassan,borewell
39,294,1.01,sandy loam,Mysore,borewell
40,148,13.87,alluvial,Mysore,canal
41,104,0.83,laterite,Solapur,sprinkler
42,123,1.47,black cotton,Sangli,drip
43,170,6.06,red loam,Raichur,drip
44,244,9.85,black cotton,Solapur,borewell
45,294,1.58,alluvial,Mysore,canal
46,19,3.98,black cotton,Belgaum,borewell
47,153,9.41,laterite,Sangli,sprinkler
48,253,0.61,sandy loam,Sangli,canal
49,235,2.06,laterite,Solapur,canal
50,90,3.62,black cotton,Sangli,drip
51,49,5.74,red loam,Bijapur,drip
52,137,6.14,sandy loam,Mandya,canal
53,32,14.23,sandy loam,Dharwad,borewell
54,152,5.83,laterite,Belgaum,rainfed
55,213,1.86,red loam,Solapur,sprinkler
56,42,1.25,black cotton,Mysore,sprinkler
57,259,0.64,red loam,Hassan,sprinkler
58,251,2.22,alluvial,Tumkur,sprinkler
59,30,3.23,black cotton,Gulbarga,canal
60,297,0.95,alluvial,Mandya,borewell
61,147,17.74,alluvial,Mysore,rainfed
62,196,6.96,laterite,Hassan,canal
63,179,1.03,black cotton,Tumkur,rainfed
64,238,1.27,alluvial,Bellary,rainfed
65,80,7.35,alluvial,Mandya,sprinkler
66,9,11.36,black cotton,Bellary,canal
67,23,0.77,red loam,Mysore,sprinkler
68,149,12.93,sandy loam,Tumkur,canal
69,155,4.09,black cotton,Gulbarga,sprinkler
70,90,17.67,alluvial,Sangli,sprinkler
71,164,8.21,alluvial,Bijapur,canal
72,116,16.98,alluvial,Gulbarga,drip
73,286,1.02,alluvial,Bijapur,rainfed
74,48,10.53,laterite,Hassan,borewell
75,38,4.24,sandy loam,Solapur,borewell
76,109,2.47,red loam,Sangli,sprinkler
77,105,3.29,laterite,Bijapur,rainfed
78,158,7.18,alluvial,Hassan,rainfed
79,105,1.06,black cotton,Bijapur,rainfed
80,284,3.67,red loam,Bellary,drip
81,292,4.62,alluvial,Mysore,drip
82,236,11.86,black cotton,Bellary,sprinkler
83,18,0.52,alluvial,Mysore,canal
84,119,10.48,laterite,Bijapur,drip
85,250,2.05,laterite,Tumkur,rainfed
86,9,1.52,black cotton,Bellary,borewell
87,269,3.01,black cotton,Gulbarga,rainfed
88,208,0.79,black cotton,Solapur,borewell
89,208,1.28,black cotton,Solapur,drip
90,223,17.69,black cotton,Belgaum,canal
91,109,1.51,sandy loam,Sangli,sprinkler
92,289,0.69,laterite,Gulbarga,canal
93,204,4.26,laterite,Belgaum,rainfed
94,197,14.69,sandy loam,Mandya,borewell
95,51,15.23,alluvial,Bellary,rainfed
96,16,8.74,alluvial,Bellary,drip
97,96,1.46,black cotton,Hassan,borewell
98,138,0.65,black cotton,Sangli,rainfed
99,228,2.53,laterite,Belgaum,sprinkler
100,263,7.12,sandy loam,Dharwad,drip
101,7,1.02,laterite,Bellary,sprinkler
102,87,0.67,black cotton,Tumkur,canal
103,223,0.88,alluvial,Belgaum,sprinkler
104,101,10.75,alluvial,Mandya,rainfed
105,226,1.7,sandy loam,Mysore,rainfed
106,103,9.83,alluvial,Mandya,sprinkler
107,125,10.38,red loam,Tumkur,sprinkler
108,280,0.44,alluvial,Hassan,rainfed
109,36,11.99,sandy loam,Dharwad,canal
110,130,6.89,alluvial,Bellary,sprinkler
111,206,1.88,sandy loam,Sangli,sprinkler
112,44,1.45,laterite,Gulbarga,drip
113,170,9.1,laterite,Raichur,sprinkler
114,298,11.56,laterite,Dharwad,sprinkler
115,78,0.44,black cotton,Bijapur,canal
116,179,2.83,black cotton,Hassan,drip
117,232,5.24,black cotton,Belgaum,canal
118,125,3.32,red loam,Tumkur,drip
119,95,1.09,alluvial,Sangli,sprinkler
120,220,1.53,laterite,Tumkur,borewell
121,275,2.46,laterite,Mysore,rainfed
122,199,16.15,red loam,Mandya,rainfed
123,44,2.95,red loam,Sangli,sprinkler
124,199,8.23,laterite,Mandya,canal
125,285,0.62,sandy loam,Raichur,borewell
126,249,11.94,alluvial,Mandya,drip
127,228,2.12,black cotton,Belgaum,rainfed
128,116,3.83,laterite,Gulbarga,sprinkler
129,58,17.89,black cotton,Raichur,drip
130,280,5.32,black cotton,Mysore,drip
131,135,1.71,red loam,Sangli,sprinkler
132,180,1.38,red loam,Hassan,borewell
133,292,9.88,sandy loam,Mysore,rainfed
134,294,1.77,red loam,Mysore,drip
135,31,1.79,red loam,Solapur,rainfed
136,127,3.96,alluvial,Bijapur,drip
137,232,5.0,alluvial,Bijapur,drip
138,168,5.39,sandy loam,Solapur,borewell
139,274,5.3,sandy loam,Tumkur,rainfed
140,281,10.12,black cotton,Bijapur,borewell
141,51,1.74,alluvial,Bellary,drip
142,1,16.91,sandy loam,Solapur,canal
143,141,0.8,black cotton,Bellary,drip
144,157,1.61,black cotton,Mandya,canal
145,245,6.11,sandy loam,Hassan,borewell
146,217,1.16,black cotton,Bijapur,rainfed
147,189,0.62,red loam,Dharwad,borewell
148,272,1.38,red loam,Mandya,drip
149,227,15.03,alluvial,Hassan,rainfed
150,220,7.01,laterite,Tumkur,sprinkler
151,146,5.39,red loam,Raichur,sprinkler
152,261,0.87,alluvial,Mandya,drip
153,58,1.42,sandy loam,Raichur,rainfed
154,68,1.74,alluvial,Bellary,borewell
155,9,2.86,laterite,Bellary,rainfed
156,257,13.69,laterite,Bellary,canal
157,143,15.7,sandy loam,Dharwad,drip
158,34,1.1,black cotton,Dharwad,drip
159,60,14.9,red loam,Dharwad,borewell
160,7,17.44,laterite,Bellary,rainfed
161,86,1.6,black cotton,Dharwad,rainfed
162,220,0.5,alluvial,Tumkur,drip
163,262,4.27,black cotton,Mandya,sprinkler
164,60,1.21,black cotton,Dharwad,drip
165,187,16.29,alluvial,Dharwad,canal
166,165,15.91,sandy loam,Dharwad,borewell
167,258,0.48,alluvial,Mysore,borewell
168,239,3.24,black cotton,Dharwad,rainfed
169,103,4.96,laterite,Mandya,drip
170,101,5.18,black cotton,Mandya,canal
171,278,1.74,alluvial,Sangli,rainfed
172,54,1.07,sandy loam,Gulbarga,borewell
173,23,4.08,alluvial,Mysore,borewell
174,298,1.42,alluvial,Gulbarga,canal
175,122,10.72,sandy loam,Solapur,rainfed
176,232,15.36,black cotton,Belgaum,canal
177,55,0.9,alluvial,Tumkur,rainfed
178,238,14.23,laterite,Bellary,borewell
179,111,2.36,alluvial,Tumkur,sprinkler
180,26,5.96,alluvial,Tumkur,sprinkler
181,282,1.14,black cotton,Mysore,canal
182,67,13.74,laterite,Mandya,rainfed
183,39,0.72,sandy loam,Dharwad,borewell
184,22,11.2,alluvial,Tumkur,drip
185,16,3.42,sandy loam,Bellary,drip
186,77,11.99,alluvial,Solapur,borewell
