id,plot_id,reading_type,value,recorded_at
1,99,soil_moisture,28.29,2025-10-08 01:00:00
2,160,humidity,62.72,2026-04-15 13:00:00
3,368,soil_moisture,27.66,2026-03-04 17:00:00
4,126,rainfall,57.03,2025-08-18 05:00:00
5,193,humidity,65.07,2026-03-18 12:00:00
6,268,rainfall,49.23,2025-12-23 17:00:00
7,46,soil_moisture,37.17,2025-09-19 05:00:00
8,136,temperature,34.5,2025-11-12 08:00:00
9,114,temperature,21.46,2026-04-21 00:00:00
10,13,rainfall,0.0,2025-11-03 05:00:00
11,335,soil_moisture,37.94,2025-09-04 04:00:00
12,113,rainfall,0.0,2025-07-27 20:00:00
13,30,soil_moisture,39.5,2025-08-21 04:00:00
14,321,humidity,54.31,2025-09-10 10:00:00
15,7,humidity,69.32,2025-12-16 04:00:00
16,53,temperature,24.23,2026-03-03 02:00:00
17,362,temperature,23.67,2026-04-18 12:00:00
18,74,rainfall,0.0,2025-10-23 01:00:00
19,28,rainfall,0.0,2025-07-09 11:00:00
20,327,rainfall,0.0,2025-07-29 19:00:00
21,160,soil_moisture,32.77,2026-04-15 16:00:00
22,424,humidity,43.66,2026-01-05 17:00:00
23,90,temperature,30.33,2025-08-19 17:00:00
24,146,rainfall,0.0,2025-08-15 06:00:00
25,184,soil_moisture,33.43,2026-01-06 10:00:00
26,362,rainfall,22.57,2026-04-17 12:00:00
27,103,humidity,45.7,2026-01-08 03:00:00
28,154,soil_moisture,31.29,2025-08-21 09:00:00
29,368,humidity,66.63,2026-03-05 02:00:00
30,6,soil_moisture,42.65,2025-08-11 01:00:00
31,126,soil_moisture,31.81,2025-08-18 09:00:00
32,122,humidity,75.34,2025-12-21 06:00:00
33,235,temperature,30.76,2026-03-31 02:00:00
34,105,rainfall,0.0,2026-01-29 01:00:00
35,272,soil_moisture,44.82,2025-12-03 21:00:00
36,223,rainfall,52.87,2025-12-13 08:00:00
37,157,soil_moisture,30.38,2026-01-20 23:00:00
38,361,temperature,22.14,2025-10-18 08:00:00
39,46,temperature,35.41,2025-09-20 17:00:00
40,305,soil_moisture,38.98,2025-06-28 01:00:00
41,233,temperature,26.51,2025-12-14 03:00:00
42,61,humidity,41.95,2026-02-05 02:00:00
43,449,humidity,66.37,2025-09-16 13:00:00
44,208,humidity,50.94,2026-01-16 14:00:00
45,135,rainfall,0.0,2025-12-06 20:00:00
46,446,humidity,55.69,2026-04-22 00:00:00
47,50,rainfall,0.0,2026-03-10 06:00:00
48,165,temperature,19.54,2025-06-30 09:00:00
49,323,temperature,20.29,2025-07-25 13:00:00
50,9,temperature,33.67,2025-09-19 02:00:00
51,353,soil_moisture,42.15,2026-03-19 17:00:00
52,186,rainfall,43.58,2026-01-28 01:00:00
53,298,humidity,54.09,2025-09-11 07:00:00
54,428,rainfall,0.0,2026-01-30 22:00:00
55,133,rainfall,52.66,2025-07-02 12:00:00
56,268,rainfall,0.0,2025-12-23 13:00:00
57,143,humidity,49.17,2025-08-12 10:00:00
58,161,temperature,29.24,2026-01-06 22:00:00
